,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
K,a7,─,─,─,─,─,d4,─,p7,─,n6,a7,s2,─,─,─,a7,─,─,─,─,p4,n6,─,d4,d4,p7,─,─,d4,a7,s2,a7,s2,─,─,─,─,p7,n6,─,─,─,─,─,─,d4,─,─,─,a7,─,d4,p4,─,─,d4,─,─,a7,s4,p4,p7,─,─,s4,p7,─,─,a7,s4,p7,p7,n6,─,a7,s2,p7,n6,─,a7,─,─,s4,─,s4,p4,─,─,─,─,s2,─,p7,n6,d4,─,─,p4,─,─,─,─,s4,─,─,─,─,─,p4,n6,p4,─,a7,s2,p7,a7,p4,─,─,a7,s4,d4,p7,d4,─,─,─,─,─,─,s2,─,─,─,a7,s4,─,─,a7,s2,p7,─,p4,n6,s2,p4,─,s2,─,d4,─,d4,n6,d4,p7,n6,─,s4,─,a7,─,p7,─,─,─,─,p7,─,p4,─,─,─,p4,n6,p7,n6,─,─,─,p4,n6,─,s4,─,n6,d4,p4,p4,n6,─,─,─,─,─,─,─,─,─,─,─,p7,n6,d4,─,p4,n6,─,p7,─,p7,n6,─,─,d4,n6,d4,─,─,─,a7,a7,s2,─,p4,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s4,p4,─,n6,d4,─,─,─,─,p4,─,─,p7,n6,─,─,─,─,n6,─,p4,─,a7,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,n6,─,─,s2,─,s4,─,─,s2,p4,s2,a7,s2,─,─,a7,─,─,─,a7,s2,─,a7,─,d4,─,d4,n6,─,─,d4,─,─,─,p7,─,─,─,─,d4,─,─,─,─,s4,p4,s4,n6,s2,─,─,─,s2,d4,a7,p7,─,─,─,─,a7,─,─,─,s2,─,─,p7,─,─,─,s2,p7,─,─,─,─,─,─,d4,─,─,─,─,─,104127,0,39,31,8,0,0,0,0,26,127,0,
L,─,d4,─,─,─,─,a4,─,p4,a7,s2,a7,─,s4,n3,d4,a4,─,─,n3,─,d4,p4,─,─,s2,p4,─,s2,d4,─,a7,n3,s4,n3,─,─,─,─,─,s4,─,a7,─,─,─,─,d4,─,─,─,─,d4,p4,─,─,p4,a7,s4,n3,s2,p4,─,a4,a4,s4,a7,n3,a7,s2,─,─,─,a7,p4,─,─,─,─,a4,─,─,a7,s2,─,─,d4,p4,─,n3,s4,─,─,─,─,─,s2,n3,d4,─,s4,─,p4,─,s4,n3,s2,─,─,d4,n3,a4,─,a7,s4,─,a7,p4,a4,a4,─,─,─,p4,─,a4,─,─,a7,─,─,a7,─,a7,s2,n3,s4,─,─,p4,─,n3,s4,─,─,─,n3,─,s4,─,a4,s2,a7,s4,p4,─,─,─,─,─,─,a7,─,─,─,─,─,─,─,a4,─,─,─,─,─,s2,p4,n3,s4,d4,a4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,a4,s2,n3,─,─,s2,─,s4,n3,─,─,p4,─,─,s2,p4,n3,─,─,─,─,n3,─,─,─,n3,─,─,p4,s2,n3,─,─,─,─,a4,─,s2,─,─,a7,─,d4,p4,─,─,─,n3,─,─,a7,s4,p4,─,─,─,─,─,─,─,a7,s2,─,─,s4,─,─,s2,a4,s4,n3,s2,p4,─,─,s2,a7,s4,─,─,─,─,─,─,─,─,s4,─,s2,p4,a7,─,─,─,─,─,─,─,─,a7,─,a4,a7,─,─,─,─,─,s2,─,d4,─,─,─,─,─,─,─,─,a4,─,─,─,n3,─,─,─,─,─,s4,n3,─,─,d4,p4,─,─,─,─,a4,s2,p4,─,─,d4,p4,a4,─,a4,─,─,─,p4,─,d4,─,─,─,─,─,d4,p4,n3,d4,─,105109,5,36,26,6,0,0,0,0,32,109,0,
M,─,─,─,─,─,d4,p7,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,s4,d4,─,d4,a4,n3,d4,a4,s4,─,a7,─,d4,n3,a7,─,─,─,a7,s4,n3,n3,─,─,a7,s4,d4,n3,d4,d4,n3,─,d4,a4,─,a4,s4,a4,─,─,─,a7,s4,─,─,─,d4,a4,n3,a7,s4,─,n3,─,─,─,a7,─,─,─,─,n3,─,─,d4,n3,a7,s4,─,─,s4,n3,─,─,─,s4,d4,d4,─,─,d4,n3,─,─,─,─,a4,n3,─,d4,n3,─,a7,─,─,a7,─,─,n3,─,s4,n3,s4,a4,─,─,d4,─,n3,─,─,─,─,s4,─,d4,n6,─,─,a4,s4,─,a4,a4,n3,d4,─,─,a4,a4,n3,a4,s4,─,─,s4,─,─,s4,─,─,─,─,a4,n3,─,─,─,─,d6,s4,─,─,a7,s4,n3,s4,n3,s4,─,a7,s4,─,─,─,─,s4,─,─,a4,s4,n3,─,─,─,─,s4,─,s4,─,─,─,─,─,─,─,─,─,─,n3,─,a7,s4,─,─,a7,s4,─,─,─,a7,s4,─,a4,─,d4,─,─,a4,─,─,─,─,a4,─,─,a4,─,─,─,─,n3,s4,a4,s4,─,─,─,s4,─,─,─,─,a4,a7,─,d4,n3,─,─,a7,─,s4,─,─,─,a7,─,─,─,a4,─,a4,s4,a7,a4,─,─,─,─,─,─,─,─,─,a4,─,s4,─,a7,─,─,d4,n3,d4,─,d4,a7,─,n3,─,─,a7,─,─,─,─,s4,─,─,─,─,─,─,─,a4,─,a4,─,n3,─,─,s4,n3,─,a7,─,─,─,─,─,─,─,─,a4,─,─,─,─,─,─,─,─,─,─,a7,─,d4,d4,─,─,a4,a7,s4,n3,─,d4,a4,─,─,─,─,a7,115098,4,38,29,8,0,2,0,0,34,98,0,
N,─,p7,─,─,d4,─,d4,─,─,─,─,─,─,─,n6,s4,─,─,d4,p7,n3,─,n6,─,─,n6,─,s4,n3,─,─,─,─,─,─,─,─,─,p4,d4,n6,p4,s4,n3,─,─,s4,p7,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s4,s4,p4,─,─,─,d4,─,─,n3,d4,n6,d4,n6,─,n3,d4,p4,s2,─,d4,p4,─,─,─,─,n6,─,─,─,p4,n6,p4,─,p7,─,─,─,p4,n6,─,n6,─,─,─,─,a4,s2,d4,d4,─,─,─,─,─,p7,n3,─,s4,p7,─,n3,s4,n3,s2,─,─,─,─,n6,s4,n6,s4,s2,─,─,─,─,s4,─,─,─,─,s2,p7,n6,s2,n3,p7,n3,─,n6,p7,d4,p7,─,─,─,d4,─,─,s4,─,─,─,a4,s4,─,─,s4,n3,s2,─,s4,p7,─,─,─,p4,─,s4,─,─,─,─,─,─,─,p4,d4,n6,─,─,─,s4,─,─,─,s2,─,─,─,─,s4,n3,p7,n6,─,─,─,─,─,─,─,─,─,─,─,─,d4,n3,s4,─,s2,─,p4,n6,n6,─,─,─,─,─,─,a5,n3,─,─,─,─,n3,s2,n3,─,─,p7,─,s2,n3,d4,─,n3,n3,─,─,n3,p7,n6,─,p7,n6,d4,p7,n3,─,n3,─,─,─,─,n3,─,─,─,─,─,─,─,─,s4,p4,─,─,─,s2,─,s4,s2,p7,─,s4,─,─,s2,s2,─,p4,─,─,─,─,─,s4,p4,─,─,s4,─,─,p4,n6,─,─,d4,─,─,n6,n3,s4,─,─,─,─,─,d4,─,─,s2,─,s4,p4,─,s4,─,─,─,─,─,─,─,─,─,n6,─,s2,n3,─,n6,p4,n3,─,─,a4,s2,n3,─,─,n6,─,n3,104138,3,30,26,6,0,3,0,0,36,138,0,
O,─,─,s2,d4,─,─,n6,─,s2,p4,a4,d4,─,─,─,a4,p4,s4,p7,a4,s2,─,a4,s2,p7,n6,─,─,s2,p7,n6,─,p4,d4,p4,─,d4,d4,─,─,─,─,s2,─,─,s2,─,a4,s4,p4,n6,n6,─,n6,─,─,─,d4,─,─,p7,─,─,─,p4,n6,─,─,─,p7,─,s2,─,s4,p7,n6,p7,n6,d4,─,─,─,s4,─,─,s2,─,─,─,─,d4,d4,n6,─,─,d4,─,─,d4,p4,d4,n6,─,─,─,d4,n6,p4,a4,s4,─,a4,s4,p7,─,─,a4,─,d4,n6,a4,s2,─,─,─,─,─,p4,n6,s4,─,─,d4,d4,p7,n6,a4,─,s2,─,─,─,─,─,s4,p4,─,─,─,─,s2,─,s2,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,s4,d4,d4,─,─,─,d4,d4,─,s2,n6,─,─,─,─,p7,─,─,p4,n6,s2,─,a4,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p4,d2,s4,─,─,─,a4,─,─,s4,n6,─,─,n6,s4,p7,─,─,─,─,─,n6,─,n6,─,─,s4,a4,s4,─,─,p4,n6,─,─,d4,─,─,─,p7,d4,n6,s4,p4,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,s2,p7,s2,─,─,s2,─,─,─,p4,n6,─,s4,p7,─,d4,─,─,p7,─,─,s2,─,─,a4,p4,a4,s4,─,d4,n6,─,─,─,─,a4,s4,─,p4,n6,─,─,─,─,─,d4,─,─,─,s2,─,─,s4,─,p7,─,─,─,─,─,─,─,a4,─,n6,─,─,─,s4,p4,─,s4,─,─,a4,─,─,─,n6,d4,p7,d4,p4,─,─,─,p7,─,92093,3,32,22,4,0,0,0,0,31,93,0,
P,─,─,a7,─,─,s4,a7,s4,─,─,─,─,─,─,─,─,─,─,─,─,a7,s2,─,─,p4,─,─,─,─,─,s4,p4,─,─,p4,s2,p4,─,a4,s2,─,s2,─,─,s2,─,─,─,─,─,─,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,─,p4,n6,─,─,─,a7,s2,─,a7,s2,s4,p4,─,a7,s4,a7,─,a7,s4,p4,a7,p4,a7,s4,─,a7,s4,─,a7,s2,p4,─,─,s2,─,─,─,s2,p4,a7,─,─,─,a7,─,s2,─,a7,a7,─,─,─,─,p4,─,s4,─,─,a7,s4,─,─,─,a7,s2,─,s2,a7,s2,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,s4,p4,s4,p4,─,─,a7,s4,─,─,a7,─,s4,p4,p4,s2,─,p4,─,p4,─,─,─,p4,s2,─,─,s4,s4,p4,a7,─,─,s2,─,s2,─,─,─,p4,─,s2,p4,─,─,s2,a7,s4,─,─,a6,a7,─,─,─,─,s4,─,p4,a7,─,s2,p4,─,s2,─,─,─,─,─,─,s2,p4,─,─,─,─,p4,n3,─,─,─,─,a7,─,a7,s4,p4,─,─,s2,─,─,s2,p4,─,─,a7,─,s2,p4,─,─,─,─,a7,s4,─,─,p4,p4,─,─,a7,s4,s4,p4,p4,a7,s4,p4,─,─,s2,─,p4,n3,a7,s4,─,a7,p4,─,p4,─,─,s4,─,─,s2,p4,─,p4,─,─,─,─,─,─,s4,p4,s4,─,─,s2,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,a7,s4,─,─,s2,─,s4,─,─,─,a7,p4,a7,s4,─,─,s4,─,s4,─,─,p4,a7,s2,─,─,─,s2,─,─,─,s4,─,─,─,s4,p4,─,s2,─,─,a7,s4,─,105097,5,34,28,9,0,4,0,0,25,97,0,
Q,─,─,a7,─,─,─,─,─,─,n3,─,─,s4,a4,s2,n6,─,─,─,─,s2,n6,a7,─,a7,s2,p7,─,─,─,─,─,─,─,─,─,─,a7,─,─,─,─,p7,n3,s4,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,p7,─,s4,─,a7,─,─,─,─,a7,p7,n3,─,─,n6,─,n3,p7,n6,s2,─,s4,n6,s2,n3,─,─,n6,n6,s2,─,─,s2,─,─,─,─,─,a7,s4,n3,─,─,a7,─,─,a4,n3,─,─,s2,─,─,─,─,─,─,─,a4,s4,─,─,─,─,─,s4,─,─,s2,n3,a7,s4,─,─,a7,─,n3,─,a7,─,s4,─,a7,─,a4,n3,─,─,n3,s4,n6,s2,─,s2,─,─,─,n6,─,n3,a7,─,n6,─,a4,n6,a4,s4,p7,n6,─,a4,s4,─,a7,s2,n3,─,a7,a7,p7,─,─,─,─,─,─,─,─,a4,n3,─,─,s2,p7,─,s4,p1,─,─,n6,n3,─,a4,─,─,n3,a4,─,─,─,a7,s4,a7,─,─,s2,─,─,─,s2,n6,─,s2,─,─,─,a7,─,─,─,─,a7,─,n3,─,a7,s4,─,s4,─,─,─,s4,─,─,n6,─,─,p7,─,─,a7,s2,p7,a4,s4,─,─,s2,n6,─,a7,s4,p7,─,─,s2,a7,─,─,─,─,s4,─,─,a7,s2,n3,a4,─,─,p7,─,a7,p7,n3,─,─,─,─,s4,─,─,─,s4,a4,s2,n6,a4,─,s4,n6,─,─,─,─,─,─,─,a4,s4,n3,a7,s2,─,─,─,─,a7,─,a7,─,─,s4,─,─,─,s4,─,─,s2,─,─,s2,a7,─,─,─,─,─,─,─,─,n3,─,a7,─,─,─,─,a4,s4,p7,─,a4,─,─,p7,─,s4,104132,1,42,31,6,0,0,0,0,24,132,0,
R,─,─,─,─,─,s2,p4,n3,─,─,d4,p4,─,p4,n3,─,a7,p4,─,─,─,─,─,a7,d4,d4,─,n3,─,─,─,d4,─,─,─,─,─,─,d4,n3,─,n3,a7,─,d4,n3,─,p4,n3,d4,─,d4,p4,─,a7,p4,a7,─,─,a7,s2,a7,─,p4,─,d4,─,a7,n3,─,s2,n3,d4,─,─,─,─,─,─,─,─,p4,n3,─,a7,─,─,s2,─,─,─,n3,─,─,n3,─,─,s2,─,─,p4,─,a7,a7,s2,─,s2,─,─,d4,n3,a7,a7,─,─,─,a7,s2,p4,a7,s2,d4,n3,─,p4,─,─,─,─,a7,p4,n3,─,a7,s2,p4,─,d4,p4,─,a7,s2,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,a7,─,─,n3,a7,s2,─,n3,─,─,─,n3,s2,─,─,─,s2,─,─,s2,p4,n3,s2,─,─,p4,─,─,a7,─,─,─,─,─,─,─,─,a7,s2,p4,─,p4,─,─,─,p4,─,a7,─,d4,p4,─,n3,─,─,d4,n3,─,a7,d4,p4,a7,s2,n3,d4,─,─,─,a7,s2,d4,─,d4,p4,─,─,a7,─,p4,─,p4,n3,─,s2,a7,─,p4,d4,─,d4,─,a7,s2,─,─,─,─,─,─,─,─,─,─,s2,a7,s2,p4,n3,─,─,─,p4,─,s2,n3,─,─,─,─,─,p4,─,─,n3,n3,─,a7,s2,─,─,─,─,a7,s2,─,─,─,─,─,a7,─,─,n3,─,─,p4,a7,s2,─,d4,─,d4,p4,─,─,─,s2,p4,─,─,─,─,─,s2,n3,─,─,n3,a7,a7,p2,d4,─,─,─,─,d4,─,─,d4,n3,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,105159,4,31,37,6,0,0,0,0,27,159,0,
S,a7,n6,a4,a4,a4,─,s2,─,─,p4,─,n6,a7,p4,n6,─,─,s2,─,─,─,n6,a7,p4,─,d4,─,─,a7,s2,─,p4,a4,p4,─,s2,p7,─,─,─,─,─,─,─,─,─,─,a4,─,─,─,─,s2,a7,p4,─,─,d4,─,a7,s2,─,p7,a4,s2,p7,─,a4,─,a7,n6,a7,─,a4,─,─,─,─,─,─,─,─,p4,n6,─,─,d4,p7,n6,d4,p4,n6,─,n6,a7,s2,─,s2,─,a7,─,a7,p4,─,a7,p4,─,p7,─,a7,─,a4,a4,p4,─,p4,n6,─,p4,─,n6,d4,s2,p7,─,─,s2,p4,─,n6,─,a7,─,─,─,d4,d4,n6,─,d4,n6,d4,─,─,p7,d4,p4,n6,n6,─,─,─,a4,─,─,─,n6,─,─,─,─,d4,─,a4,─,─,─,n6,a7,p7,a4,s2,─,─,─,─,p4,n6,─,n6,─,d4,─,─,─,─,a4,─,─,─,a7,─,─,─,p4,─,─,a7,─,s2,─,p4,─,─,─,s2,─,─,─,─,─,─,─,─,─,─,─,─,d4,─,─,─,p4,─,─,─,─,─,─,─,a7,─,─,a7,─,─,─,─,a7,s2,n6,─,─,s2,─,─,d4,n6,─,─,─,a7,n6,a4,─,─,s2,p7,s2,─,─,d4,p4,a4,s2,p4,─,─,a7,─,p7,─,─,─,─,p7,a7,─,─,a7,─,─,─,─,─,─,─,─,a7,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a4,p4,n6,─,p4,n6,─,─,d4,─,─,a7,n6,─,─,─,─,s2,─,─,a7,─,─,─,─,─,─,a4,s2,n6,─,─,─,a4,a7,s2,─,─,p7,n6,─,─,─,─,a7,p4,─,─,─,─,─,p4,n6,─,a4,s2,n6,107091,1,41,33,7,0,0,0,0,25,91,0,
T,─,─,─,─,a7,p7,─,p7,─,a4,p7,─,p7,n3,─,─,d4,a7,d4,─,─,p4,─,a7,a4,d4,p4,n3,a7,─,s4,a4,s4,a7,─,─,p7,n3,─,p4,─,a4,─,─,a4,n3,a7,n3,─,─,─,n3,p7,d4,─,─,─,d4,─,─,n3,─,─,─,─,─,─,p7,d4,p7,─,─,─,a7,p4,─,─,─,a7,─,─,a4,p7,─,─,─,d4,p7,a7,─,s4,a7,p7,n3,─,─,n3,a4,s4,─,p7,─,─,─,a7,p4,─,s4,─,─,─,a4,p7,─,─,d4,a7,─,─,─,─,a4,─,─,─,─,─,─,─,─,─,a4,p4,─,─,─,d4,p7,─,─,p7,─,─,─,p4,n3,─,─,─,p4,n3,─,n3,─,s4,n3,s4,─,─,─,a4,─,n3,─,s4,n3,d4,─,d4,p7,─,a4,s4,─,─,a4,─,─,p4,─,─,─,─,p4,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,a7,p7,n3,a7,─,─,p4,─,─,p7,─,d4,─,─,─,─,p7,─,─,─,─,p4,─,─,─,─,─,─,─,─,─,d4,─,d4,p4,─,d4,─,a7,─,─,a7,p4,─,─,─,─,d4,─,a7,─,n3,─,─,─,─,─,a4,a4,n3,─,─,─,a4,─,a4,s4,p7,n3,─,d4,─,─,d4,a4,p7,a7,p4,─,─,─,─,─,─,─,─,─,─,─,─,d4,d4,n3,─,s4,p4,─,d4,n3,─,─,─,─,─,─,─,─,─,p7,─,─,─,n3,n3,a7,s4,─,s4,─,p7,─,─,a7,─,─,─,─,n3,a4,s4,─,p4,─,─,p7,n3,d4,─,a7,n3,a4,s4,─,─,─,s4,─,a4,─,a7,s3,─,─,─,─,n3,d4,─,n3,d4,a7,s4,─,d4,108071,1,37,34,6,0,0,0,0,30,71,0,
U,─,─,─,d4,a4,s2,p4,n3,─,a4,s2,n3,─,─,─,a4,─,─,s2,p4,s2,d4,─,p4,a4,p4,a4,s2,p4,─,n3,a4,─,─,─,─,─,─,─,─,─,─,s2,a4,s2,─,─,─,p4,n3,s2,p4,a4,s2,n3,─,─,─,p4,a4,p4,d4,─,s2,a4,n3,s2,p4,─,─,─,─,─,─,d4,n3,a4,a4,s2,─,─,a4,─,s2,n3,─,─,─,─,d4,n3,─,─,n3,a4,s2,n3,─,─,─,─,─,─,s2,p4,n3,─,p4,n3,─,─,─,─,n3,─,d4,─,─,─,n3,─,─,─,─,p4,─,─,n3,─,─,p4,─,─,a4,s2,p4,n3,─,a4,─,d4,a4,p4,n3,─,─,─,─,─,─,d8,d4,─,─,─,─,d4,─,─,─,─,─,─,─,─,─,n3,─,─,a4,─,─,─,d4,─,d4,─,p4,─,n3,p4,n3,─,d4,s2,p4,─,s2,n3,─,─,─,─,─,d4,p4,─,s2,a4,p4,─,a4,s2,n3,─,─,─,─,d4,p4,─,a4,─,a4,s2,s2,a4,─,─,─,─,p4,─,a4,s2,─,d4,d4,d4,─,d4,─,p4,─,s2,n3,a4,─,─,─,─,─,─,─,─,n3,a4,a4,─,─,─,─,s2,a4,─,s2,─,─,p4,─,─,n3,a4,─,─,─,─,─,p4,d4,─,n3,─,─,─,─,a4,─,─,─,a4,─,─,a4,─,n3,─,n3,─,─,─,─,s2,n3,─,─,d4,─,─,─,─,a4,s2,─,─,─,─,─,─,─,p4,a4,s2,n3,─,a4,─,─,─,p4,─,─,a4,─,d4,─,─,─,─,─,─,─,─,─,─,─,─,─,d4,n3,─,─,─,─,─,p4,─,p4,─,─,─,─,a4,p4,─,─,─,d4,p4,d4,─,─,─,p4,104137,3,34,30,4,0,1,0,0,32,137,0,
V,d4,p4,─,a7,s4,─,─,─,s4,p4,n6,─,─,─,─,─,─,d4,─,─,─,─,─,─,s4,n6,─,d4,─,d4,─,p4,─,n6,s2,p4,─,─,p4,d4,n3,n3,─,d4,n3,a7,s2,n6,d4,p4,─,─,p4,─,d4,─,s4,p4,─,s2,s2,p4,─,─,s2,─,n6,d4,─,─,─,─,─,s2,d4,n3,─,s4,n3,─,─,p4,─,d4,n6,s4,s4,─,─,d4,n3,─,s4,p4,s4,─,n6,s2,─,─,─,─,n3,─,─,─,d4,─,─,─,p4,s4,p4,d4,n6,─,p4,─,─,s4,n6,d4,─,─,─,─,─,─,p4,n6,─,─,d4,─,s4,p4,─,─,p4,─,n3,─,─,─,─,d4,─,p4,n3,─,p4,─,n6,─,─,─,─,d4,p4,n3,─,─,n3,─,─,─,n3,─,─,─,s4,p4,n3,d4,─,─,─,─,─,─,─,─,─,s4,p4,n6,p4,─,─,n3,─,─,─,─,d4,─,─,n3,─,s4,─,s4,p4,─,─,p4,n6,d4,n6,─,─,a6,d4,p4,─,─,d4,p4,─,─,─,n3,─,n3,─,p4,─,─,─,a4,s4,p4,n3,─,d4,─,s2,─,─,─,p4,─,─,─,─,s4,─,s2,p4,n3,s4,n3,─,─,─,─,─,─,─,─,─,─,─,s4,s2,─,d4,p4,s4,─,─,─,─,─,─,─,─,─,─,s2,─,─,s2,─,s4,a4,s4,─,─,n3,─,─,s2,n6,─,n6,─,─,─,─,─,n3,─,─,n6,p4,─,─,─,─,─,─,─,─,s4,s2,─,p4,n6,p4,n6,s2,p4,─,─,─,─,s2,n3,─,─,─,─,─,─,─,─,─,─,─,n6,d4,─,─,s2,─,─,d4,─,─,d4,n6,─,─,─,─,─,─,─,─,─,─,n3,p4,112110,3,37,31,9,0,4,0,0,28,110,0,
W,a7,s2,p4,a7,p4,─,─,s4,a7,─,─,─,─,─,─,─,─,─,─,s2,─,─,a7,─,a7,─,─,a7,p4,─,s4,p4,s2,─,─,s2,─,s4,n3,─,─,s2,─,─,─,─,─,s4,─,a7,n3,─,─,─,s2,─,p4,n3,─,a7,─,─,a7,─,─,a7,─,─,─,─,─,─,s2,p4,─,─,s2,n3,─,─,─,n6,─,a7,─,─,─,─,p4,a7,n3,n6,─,s2,n6,─,─,─,─,─,n3,a7,─,─,p4,n3,s4,p4,─,─,s2,─,─,a7,─,a7,s4,─,─,a7,─,─,n3,s2,─,─,p4,n6,─,─,─,─,─,─,s2,─,─,─,s4,─,s4,n3,a7,s1,s4,─,p4,─,s2,p4,n3,─,─,n3,─,n6,a7,p4,─,─,─,─,─,p4,n6,a7,s2,n6,a7,─,─,─,─,s2,a7,─,s2,p4,s4,─,─,s2,p4,n3,s2,n6,─,─,─,─,s2,p4,s2,─,s4,n3,─,─,a7,─,─,─,─,─,─,─,a7,─,─,─,─,─,─,─,n3,─,─,a7,s4,─,─,─,─,─,─,s4,a7,─,s2,─,─,a7,─,a7,s2,n3,─,─,n3,a7,─,─,─,s2,a7,s2,n3,─,─,─,─,s4,─,─,s4,a7,─,─,─,s2,─,p4,a7,s2,n3,─,s4,n3,s4,─,s4,─,a4,s4,─,─,─,─,a7,p4,─,p4,n6,─,─,─,a7,─,─,─,─,s4,─,s2,n6,─,p4,─,n3,─,─,─,s4,─,─,─,─,─,─,a7,p4,n3,a7,s4,n6,─,s2,n6,n6,n6,─,s2,n3,─,─,a7,─,s2,p4,n6,─,─,n6,─,a7,s4,─,─,─,─,a7,n3,─,a7,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,─,97130,2,35,30,4,0,1,0,0,25,130,0,
X,n6,─,─,─,─,─,─,─,─,─,─,─,─,─,─,s2,─,a7,p4,─,─,a7,s2,─,─,─,s2,─,─,─,─,─,─,─,─,a7,─,─,a7,─,─,a7,s2,─,─,a7,─,p4,n6,─,p4,─,s2,─,a7,─,a7,─,─,─,s2,n6,s2,p4,n6,─,─,a7,n6,─,s2,p4,─,p4,n6,s2,─,s2,─,─,a7,s2,p4,n6,a7,s2,─,─,─,─,n6,a7,s4,a7,─,─,s2,─,n6,s2,─,─,─,s2,─,s2,a7,s4,─,s2,p4,n6,─,─,s2,─,a7,s4,p4,─,a7,s4,p4,─,─,─,a7,s2,─,─,─,a7,─,─,─,s2,─,─,a7,─,s4,n6,s2,n6,─,─,a7,s2,─,─,p4,─,s2,─,─,─,n6,─,─,─,─,─,a7,p4,─,─,─,a7,─,─,─,a7,s2,─,s4,─,s2,p4,n6,a7,─,n6,s4,─,─,s4,s4,p4,n6,s2,p4,p4,─,─,─,a7,─,─,p4,─,s4,─,─,─,a7,s2,─,─,─,p4,─,─,s2,─,s4,─,─,─,─,─,a7,s2,─,─,p4,─,─,a7,s2,─,─,s4,p4,n6,─,─,─,a7,─,─,a7,s4,n6,a7,s4,─,─,─,s4,─,─,a7,n6,─,─,─,─,─,─,─,─,─,n6,─,─,n6,p4,n6,─,─,─,s2,p4,─,s4,─,─,s4,─,─,n6,─,─,a7,─,─,─,─,─,a7,s2,─,s2,─,─,a7,─,s2,a7,s2,─,─,─,─,─,─,─,─,─,p4,n6,a7,─,─,─,s4,─,s4,p4,─,─,s4,n6,─,─,─,a7,n6,s4,─,a7,─,─,n6,─,─,─,p4,n6,s2,─,─,─,─,─,─,p4,s4,─,─,─,─,─,─,─,p4,─,p4,─,s4,p4,s4,─,─,101103,3,42,28,7,0,0,0,0,21,103,0,
